date,model,rolling_12m_annual_return
2000-11-30,Random Forest (Step 2 constrained),-0.2721049170249994
2000-12-29,Random Forest (Step 2 constrained),-0.22208424708144758
2001-01-31,Random Forest (Step 2 constrained),-0.031977603327555615
2001-02-28,Random Forest (Step 2 constrained),-0.29007130511677326
2001-03-30,Random Forest (Step 2 constrained),-0.23641883042796163
2001-04-30,Random Forest (Step 2 constrained),-0.08054270123467433
2001-05-31,Random Forest (Step 2 constrained),-0.06442466266657199
2001-06-29,Random Forest (Step 2 constrained),-0.1102271377958276
2001-07-31,Random Forest (Step 2 constrained),-0.09448261900896993
2001-08-31,Random Forest (Step 2 constrained),-0.17964042194944696
2001-09-28,Random Forest (Step 2 constrained),-0.34263147277214456
2001-10-31,Random Forest (Step 2 constrained),-0.34794619027098805
2001-11-30,Random Forest (Step 2 constrained),0.006346986598122939
2001-12-31,Random Forest (Step 2 constrained),-0.02914920187341563
2002-01-31,Random Forest (Step 2 constrained),-0.20315158032744918
2002-02-28,Random Forest (Step 2 constrained),-0.06160574582069345
2002-03-28,Random Forest (Step 2 constrained),-0.014487605541093185
2002-04-30,Random Forest (Step 2 constrained),-0.21908850584261974
2002-05-31,Random Forest (Step 2 constrained),-0.20983715668271596
2002-06-28,Random Forest (Step 2 constrained),-0.21340703605718736
2002-07-31,Random Forest (Step 2 constrained),-0.24877800199010358
2002-08-30,Random Forest (Step 2 constrained),-0.22875915605360575
2002-09-30,Random Forest (Step 2 constrained),-0.1288293478993625
2002-10-31,Random Forest (Step 2 constrained),0.008470986962549887
2002-11-29,Random Forest (Step 2 constrained),-0.12611673550655356
2002-12-31,Random Forest (Step 2 constrained),-0.23061903040165965
2003-01-31,Random Forest (Step 2 constrained),-0.2519758509610637
2003-02-28,Random Forest (Step 2 constrained),-0.2500653245087219
2003-03-31,Random Forest (Step 2 constrained),-0.2502819069960972
2003-04-30,Random Forest (Step 2 constrained),-0.13956638818030997
2003-05-30,Random Forest (Step 2 constrained),-0.08316241377550782
2003-06-30,Random Forest (Step 2 constrained),-0.0368262469477002
2003-07-31,Random Forest (Step 2 constrained),0.09291836923989516
2003-08-29,Random Forest (Step 2 constrained),0.13256782338377016
2003-09-30,Random Forest (Step 2 constrained),0.34604661240474077
2003-10-31,Random Forest (Step 2 constrained),0.255110595701326
2003-11-28,Random Forest (Step 2 constrained),0.19110625434628603
2003-12-31,Random Forest (Step 2 constrained),0.3777542266180969
2004-01-30,Random Forest (Step 2 constrained),0.4271073561104157
2004-02-27,Random Forest (Step 2 constrained),0.5226666471487236
2004-03-31,Random Forest (Step 2 constrained),0.454461555259259
2004-04-30,Random Forest (Step 2 constrained),0.3030848540676796
2004-05-28,Random Forest (Step 2 constrained),0.24897448086970786
2004-06-30,Random Forest (Step 2 constrained),0.2688650488772415
2004-07-30,Random Forest (Step 2 constrained),0.08303447053369162
2004-08-31,Random Forest (Step 2 constrained),0.06256182228076601
2004-09-30,Random Forest (Step 2 constrained),0.10491162475763294
2004-10-29,Random Forest (Step 2 constrained),0.09059541462723941
2004-11-30,Random Forest (Step 2 constrained),0.0830963959238411
2004-12-31,Random Forest (Step 2 constrained),0.11801239620357418
2005-01-31,Random Forest (Step 2 constrained),-0.005375978174208318
2005-02-28,Random Forest (Step 2 constrained),-0.020133115764410237
2005-03-31,Random Forest (Step 2 constrained),-0.02468921470812413
2005-04-29,Random Forest (Step 2 constrained),-0.02331805083294114
2005-05-31,Random Forest (Step 2 constrained),-0.007574502405157002
2005-06-30,Random Forest (Step 2 constrained),-0.018081514259916664
2005-07-29,Random Forest (Step 2 constrained),0.12516856989614888
2005-08-31,Random Forest (Step 2 constrained),0.06679914434715606
2005-09-30,Random Forest (Step 2 constrained),0.04595416604275093
2005-10-31,Random Forest (Step 2 constrained),-0.024468992699101744
2005-11-30,Random Forest (Step 2 constrained),-0.016565652074078896
2005-12-30,Random Forest (Step 2 constrained),-0.044362724243186435
2006-01-31,Random Forest (Step 2 constrained),0.11843602065668435
2006-02-28,Random Forest (Step 2 constrained),0.09479184382943329
2006-03-31,Random Forest (Step 2 constrained),0.16279755320062028
2006-04-28,Random Forest (Step 2 constrained),0.23681905720401764
2006-05-31,Random Forest (Step 2 constrained),0.1444333433867364
2006-06-30,Random Forest (Step 2 constrained),0.12178090600114433
2006-07-31,Random Forest (Step 2 constrained),0.06124490773050528
2006-08-31,Random Forest (Step 2 constrained),0.1336951583220507
2006-09-29,Random Forest (Step 2 constrained),0.1199027120840157
2006-10-31,Random Forest (Step 2 constrained),0.19253777934404592
2006-11-30,Random Forest (Step 2 constrained),0.16335652557979286
2006-12-29,Random Forest (Step 2 constrained),0.12852631698264805
2007-01-31,Random Forest (Step 2 constrained),0.12404665025180273
2007-02-28,Random Forest (Step 2 constrained),0.13727790856649458
2007-03-30,Random Forest (Step 2 constrained),0.11607043265261097
2007-04-30,Random Forest (Step 2 constrained),0.1379397745727613
2007-05-31,Random Forest (Step 2 constrained),0.21874753938097946
2007-06-29,Random Forest (Step 2 constrained),0.1926878822006206
2007-07-31,Random Forest (Step 2 constrained),0.18196197881103515
2007-08-31,Random Forest (Step 2 constrained),0.15456140617687275
2007-09-28,Random Forest (Step 2 constrained),0.22392313235654937
2007-10-31,Random Forest (Step 2 constrained),0.22430229142174318
2007-11-30,Random Forest (Step 2 constrained),0.10761825336005804
2007-12-31,Random Forest (Step 2 constrained),0.10497379085840897
2008-01-31,Random Forest (Step 2 constrained),0.1052863556739938
2008-02-29,Random Forest (Step 2 constrained),0.12627147830258068
2008-03-31,Random Forest (Step 2 constrained),0.09699512342438577
2008-04-30,Random Forest (Step 2 constrained),0.12691369880783387
2008-05-30,Random Forest (Step 2 constrained),0.12764433939467978
2008-06-30,Random Forest (Step 2 constrained),0.1797046455537188
2008-07-31,Random Forest (Step 2 constrained),0.21728766876146333
2008-08-29,Random Forest (Step 2 constrained),0.14794649412622096
2008-09-30,Random Forest (Step 2 constrained),-0.005974624870554335
2008-10-31,Random Forest (Step 2 constrained),-0.16613988492066234
2008-11-28,Random Forest (Step 2 constrained),-0.13850611917996125
2008-12-31,Random Forest (Step 2 constrained),-0.17187232582259204
2009-01-30,Random Forest (Step 2 constrained),-0.2902564787640938
2009-02-27,Random Forest (Step 2 constrained),-0.37517401785727467
2009-03-31,Random Forest (Step 2 constrained),-0.26742765210177644
2009-04-30,Random Forest (Step 2 constrained),-0.1975331667640441
2009-05-29,Random Forest (Step 2 constrained),-0.048318114137178236
2009-06-30,Random Forest (Step 2 constrained),0.020441801964946604
2009-07-31,Random Forest (Step 2 constrained),0.09719861003837127
2009-08-31,Random Forest (Step 2 constrained),0.2167813375927865
2009-09-30,Random Forest (Step 2 constrained),0.3396024207087087
2009-10-30,Random Forest (Step 2 constrained),0.44728354925788194
2009-11-30,Random Forest (Step 2 constrained),0.5873337335288229
2009-12-31,Random Forest (Step 2 constrained),0.7265802864136048
2010-01-29,Random Forest (Step 2 constrained),0.8650490727776146
2010-02-26,Random Forest (Step 2 constrained),1.171275483758599
2010-03-31,Random Forest (Step 2 constrained),0.9606024137082103
2010-04-30,Random Forest (Step 2 constrained),0.6995866656791481
2010-05-28,Random Forest (Step 2 constrained),0.2609821971456796
2010-06-30,Random Forest (Step 2 constrained),0.08219113526315125
2010-07-30,Random Forest (Step 2 constrained),0.08269512197431372
2010-08-31,Random Forest (Step 2 constrained),0.02628635820163705
2010-09-30,Random Forest (Step 2 constrained),0.12800174172311207
2010-10-29,Random Forest (Step 2 constrained),0.24065353753977647
2010-11-30,Random Forest (Step 2 constrained),0.24572054244857156
2010-12-31,Random Forest (Step 2 constrained),0.2828088633464503
2011-01-31,Random Forest (Step 2 constrained),0.3445294251267348
2011-02-28,Random Forest (Step 2 constrained),0.3473084920707157
2011-03-31,Random Forest (Step 2 constrained),0.3000746436975512
2011-04-29,Random Forest (Step 2 constrained),0.2782524913711433
2011-05-31,Random Forest (Step 2 constrained),0.4271669640316371
2011-06-30,Random Forest (Step 2 constrained),0.464691378587311
2011-07-29,Random Forest (Step 2 constrained),0.3951423544274475
2011-08-31,Random Forest (Step 2 constrained),0.32890744202385225
