fold_id,model_type,train_rows,valid_rows,train_dates,valid_dates,prediction_std,nonzero_coef_count,coef_l1_norm,intercept,selected_alpha
199,random_forest,59793,497,120,1,0.00328018696251664,,,,
200,random_forest,59790,500,120,1,0.004679578298576052,,,,
201,random_forest,59793,496,120,1,0.0013035344766170708,,,,
202,random_forest,59789,498,120,1,5.421010862427522e-20,,,,
203,random_forest,59788,500,120,1,0.0014018207925830528,,,,
204,random_forest,59793,499,120,1,0.0025350335979520025,,,,
205,random_forest,59794,497,120,1,0.007464799938691355,,,,
206,random_forest,59793,499,120,1,0.0004515184619722167,,,,
207,random_forest,59794,498,120,1,0.0003525240789306354,,,,
208,random_forest,59796,499,120,1,1.0408340855860843e-17,,,,
209,random_forest,59796,500,120,1,0.0003203325448308495,,,,
210,random_forest,59797,498,120,1,0.000703951147902709,,,,
211,random_forest,59796,498,120,1,0.00042921785224638145,,,,
212,random_forest,59798,499,120,1,6.972885511705057e-05,,,,
213,random_forest,59798,496,120,1,3.469446951953614e-18,,,,
214,random_forest,59797,500,120,1,0.001929408390902773,,,,
215,random_forest,59803,499,120,1,0.0030733370290410033,,,,
216,random_forest,59807,499,120,1,6.624642800130312e-05,,,,
217,random_forest,59811,500,120,1,0.00010599809059494547,,,,
218,random_forest,59812,499,120,1,1.734723475976807e-18,,,,
219,random_forest,59811,500,120,1,3.469446951953614e-18,,,,
220,random_forest,59813,500,120,1,4.0559508081255686e-05,,,,
221,random_forest,59814,499,120,1,0.0,,,,
222,random_forest,59814,496,120,1,1.734723475976807e-18,,,,
223,random_forest,59811,498,120,1,0.00021855345989038223,,,,
224,random_forest,59810,500,120,1,0.0,,,,
225,random_forest,59811,500,120,1,1.0408340855860843e-17,,,,
226,random_forest,59816,498,120,1,1.734723475976807e-18,,,,
227,random_forest,59816,496,120,1,0.007595004063844131,,,,
228,random_forest,59816,499,120,1,0.0022630387729959613,,,,
229,random_forest,59818,499,120,1,0.010416066953934142,,,,
230,random_forest,59822,499,120,1,0.001551224760209809,,,,
231,random_forest,59822,498,120,1,0.001746145232729661,,,,
232,random_forest,59820,498,120,1,0.0008083990502665518,,,,
233,random_forest,59819,499,120,1,0.00011340435136824945,,,,
234,random_forest,59818,500,120,1,0.00579068455473941,,,,
235,random_forest,59818,497,120,1,0.0018973573531049003,,,,
236,random_forest,59815,499,120,1,0.0038686659444647394,,,,
237,random_forest,59814,499,120,1,0.000478713891311315,,,,
238,random_forest,59813,499,120,1,0.0019783572994000486,,,,
239,random_forest,59813,499,120,1,0.001742574586924981,,,,
240,random_forest,59814,497,120,1,0.000851138811811638,,,,
241,random_forest,59812,498,120,1,0.0,,,,
242,random_forest,59813,500,120,1,0.023829588746387402,,,,
243,random_forest,59816,500,120,1,0.01183402460512052,,,,
244,random_forest,59819,498,120,1,0.06945739736027536,,,,
245,random_forest,59819,499,120,1,0.035490876824432756,,,,
246,random_forest,59818,500,120,1,0.03652658355499267,,,,
247,random_forest,59820,500,120,1,0.004148094852719106,,,,
248,random_forest,59823,500,120,1,3.469446951953614e-18,,,,
249,random_forest,59824,500,120,1,3.469446951953614e-18,,,,
250,random_forest,59825,496,120,1,0.02811036285371918,,,,
251,random_forest,59824,500,120,1,0.0005681415532514338,,,,
252,random_forest,59825,500,120,1,0.0423639780842208,,,,
253,random_forest,59825,498,120,1,0.00012382249253079566,,,,
254,random_forest,59823,500,120,1,0.0005590804484891926,,,,
255,random_forest,59824,499,120,1,0.00021628378261197742,,,,
256,random_forest,59825,497,120,1,0.0004775195039859346,,,,
257,random_forest,59824,500,120,1,0.00027783509536355726,,,,
258,random_forest,59824,500,120,1,7.709041537724553e-05,,,,
259,random_forest,59827,499,120,1,0.0,,,,
260,random_forest,59827,499,120,1,0.00021851835209465355,,,,
261,random_forest,59827,500,120,1,3.469446951953614e-18,,,,
262,random_forest,59829,499,120,1,0.00030240286763678084,,,,
263,random_forest,59829,500,120,1,3.469446951953614e-18,,,,
264,random_forest,59831,498,120,1,0.0,,,,
265,random_forest,59831,500,120,1,0.0006866202804793114,,,,
266,random_forest,59832,499,120,1,0.0003673149412508874,,,,
267,random_forest,59831,499,120,1,0.0006582692237436529,,,,
268,random_forest,59832,498,120,1,0.0012715442511251223,,,,
269,random_forest,59832,498,120,1,0.0002842627903568758,,,,
270,random_forest,59833,499,120,1,0.00018157479960340952,,,,
271,random_forest,59832,500,120,1,0.00016192963786252582,,,,
272,random_forest,59835,500,120,1,0.0,,,,
273,random_forest,59837,499,120,1,6.938893903907228e-18,,,,
274,random_forest,59836,499,120,1,0.0036774698104886545,,,,
275,random_forest,59838,499,120,1,0.0032980382384423324,,,,
276,random_forest,59837,499,120,1,0.002275300587420637,,,,
277,random_forest,59838,500,120,1,0.0,,,,
278,random_forest,59839,500,120,1,6.938893903907228e-18,,,,
279,random_forest,59839,499,120,1,0.0,,,,
280,random_forest,59839,500,120,1,0.02948145858081595,,,,
281,random_forest,59839,500,120,1,0.0010196385430480026,,,,
