fold_id,model_type,train_rows,valid_rows,train_dates,valid_dates,prediction_std,nonzero_coef_count,coef_l1_norm,intercept,selected_alpha
165,random_forest,59808,498,120,1,0.0,,,,
166,random_forest,59806,497,120,1,0.0025324893966856316,,,,
167,random_forest,59803,500,120,1,3.469446951953614e-18,,,,
168,random_forest,59804,498,120,1,0.0,,,,
169,random_forest,59803,499,120,1,6.79460518453746e-05,,,,
170,random_forest,59803,499,120,1,3.469446951953614e-18,,,,
171,random_forest,59804,499,120,1,0.0,,,,
172,random_forest,59803,500,120,1,8.578718770090618e-05,,,,
173,random_forest,59804,498,120,1,6.938893903907228e-18,,,,
174,random_forest,59802,500,120,1,0.0,,,,
175,random_forest,59802,499,120,1,3.469446951953614e-18,,,,
176,random_forest,59804,498,120,1,6.938893903907228e-18,,,,
177,random_forest,59803,499,120,1,0.00013578965622325524,,,,
178,random_forest,59803,500,120,1,5.516603093221233e-05,,,,
179,random_forest,59805,498,120,1,3.469446951953614e-18,,,,
180,random_forest,59804,499,120,1,0.0,,,,
181,random_forest,59803,495,120,1,8.673617379884035e-19,,,,
182,random_forest,59799,498,120,1,6.938893903907228e-18,,,,
183,random_forest,59797,497,120,1,1.734723475976807e-18,,,,
184,random_forest,59797,499,120,1,0.000236774898699894,,,,
185,random_forest,59797,498,120,1,0.0011164595675186339,,,,
186,random_forest,59795,498,120,1,1.734723475976807e-18,,,,
187,random_forest,59794,497,120,1,1.0408340855860843e-17,,,,
188,random_forest,59793,498,120,1,0.0015483072528523494,,,,
189,random_forest,59795,499,120,1,0.010019328427485838,,,,
190,random_forest,59795,499,120,1,3.469446951953614e-18,,,,
191,random_forest,59795,497,120,1,1.734723475976807e-18,,,,
192,random_forest,59795,497,120,1,0.00021170422793520912,,,,
193,random_forest,59795,497,120,1,0.0004422916755625955,,,,
194,random_forest,59795,497,120,1,0.002557539264688865,,,,
195,random_forest,59793,496,120,1,0.002582791901847146,,,,
196,random_forest,59790,498,120,1,0.004589364992525811,,,,
197,random_forest,59793,497,120,1,0.004057005374919964,,,,
198,random_forest,59792,498,120,1,0.001969558981895388,,,,
199,random_forest,59793,497,120,1,0.003280186962516641,,,,
200,random_forest,59790,500,120,1,0.004554833960780033,,,,
201,random_forest,59793,496,120,1,0.0013035344766170723,,,,
